attrition_flag,customer_age,total_trans_amt,total_trans_ct,credit_limit,months_inactive_12_mon,contacts_count_12_mon,income_category
Existing Customer,44,1226,34,1862,3,0,60K-80K
Existing Customer,43,1566,37,8358,3,3,Lessthan40K
Existing Customer,53,1022,21,34516,1,2,120K+
Existing Customer,44,1235,30,14450,2,3,60K-80K
Existing Customer,62,1951,44,1438.3,0,0,Lessthan40K
Existing Customer,54,1047,31,33791,3,2,120K+
Existing Customer,57,1342,32,8466,3,0,60K-80K
Existing Customer,42,1107,21,15088,3,3,60K-80K
Existing Customer,42,1251,35,3263,1,2,60K-80K
Existing Customer,54,1305,24,1494,2,2,Lessthan40K
Existing Customer,48,1388,37,13551,1,0,80K-120K
Existing Customer,49,1235,18,18886,2,2,80K-120K
Existing Customer,52,2089,36,11976,2,0,80K-120K
Existing Customer,50,1626,25,9964,1,4,80K-120K
Existing Customer,49,1111,24,24159,6,3,60K-80K
Existing Customer,53,1553,38,5362,2,3,Lessthan40K
Existing Customer,50,1064,13,34516,2,2,120K+
Existing Customer,55,1243,29,3174,1,0,Lessthan40K
Existing Customer,53,1659,38,12262,2,2,80K-120K
Existing Customer,47,1594,47,3788,3,3,40K-60K
Existing Customer,55,1268,42,34516,3,2,120K+
Existing Customer,47,1304,24,2926,2,2,60K-80K
Existing Customer,58,1368,30,32090,1,0,120K+
Attrited Customer,53,720,23,11669,3,2,80K-120K
Existing Customer,52,1521,29,13532,1,2,40K-60K
Existing Customer,50,1137,30,11888,2,2,Lessthan40K
Existing Customer,42,978,16,2393,1,2,Lessthan40K
Existing Customer,43,1221,16,6111,1,2,40K-60K
Existing Customer,57,1565,28,19270,2,3,80K-120K
Existing Customer,52,1578,34,3710,1,4,80K-120K
Existing Customer,47,1493,32,3235,1,3,Lessthan40K
Existing Customer,44,1178,27,11749,1,0,40K-60K
Existing Customer,53,991,26,7753,3,2,60K-80K
Existing Customer,45,2560,42,10408,1,0,60K-80K
Existing Customer,63,1657,29,3967,2,3,Unknown
Existing Customer,39,1204,19,6205,2,2,Lessthan40K
Attrited Customer,48,673,18,8025,3,3,Lessthan40K
Existing Customer,51,1131,18,9036,2,3,120K+
Existing Customer,54,1576,25,14926,3,2,80K-120K
Existing Customer,59,1217,20,6335,2,3,Lessthan40K
Attrited Customer,59,530,10,14979,3,3,60K-80K
Attrited Customer,48,739,16,2732,2,3,Lessthan40K
Existing Customer,41,1617,31,2250,3,2,Lessthan40K
Existing Customer,55,1592,34,10916,2,0,120K+
Existing Customer,47,1343,30,5349,1,3,Unknown
Existing Customer,41,1303,39,9366,1,3,80K-120K
Existing Customer,40,1351,22,21617,1,0,80K-120K
Existing Customer,68,1910,32,13860,2,3,Unknown
Existing Customer,50,1298,22,18386,2,3,40K-60K
Existing Customer,47,1087,29,2405,2,2,60K-80K
Existing Customer,53,1439,26,2154,2,3,Lessthan40K
Existing Customer,42,1238,28,2038,3,3,40K-60K
Existing Customer,48,1716,29,8135,1,3,40K-60K
Existing Customer,49,1099,27,9364,1,3,120K+
Existing Customer,44,1058,24,32643,3,2,Unknown
Existing Customer,43,1285,29,3195,3,1,Lessthan40K
Existing Customer,56,1651,28,2852,2,1,80K-120K
Existing Customer,59,1152,31,4224,3,3,Unknown
Existing Customer,46,1767,38,20459,2,2,60K-80K
Existing Customer,47,1039,24,3482,5,3,Lessthan40K
Existing Customer,50,1130,28,3065,2,3,40K-60K
Existing Customer,51,1645,30,2185,1,2,Lessthan40K
Existing Customer,47,1413,29,1611,1,0,Lessthan40K
Existing Customer,58,1218,23,2822,3,3,Lessthan40K
Attrited Customer,46,597,17,32975,3,3,80K-120K
Existing Customer,53,2184,53,1438.3,2,2,60K-80K
Existing Customer,45,1592,37,15875,3,3,Unknown
Existing Customer,52,1388,28,6703,3,3,Lessthan40K
Attrited Customer,53,757,20,3212,2,1,80K-120K
Existing Customer,50,1504,34,34516,1,3,80K-120K
Existing Customer,41,1503,34,9797,1,2,40K-60K
Existing Customer,45,1105,28,10400,2,2,40K-60K
Existing Customer,53,2398,47,26792,1,2,80K-120K
Existing Customer,67,1661,32,3006,3,2,Lessthan40K
Existing Customer,57,1421,22,19482,3,0,40K-60K
Existing Customer,59,999,28,3356,2,3,40K-60K
Existing Customer,45,1387,18,5771,2,1,40K-60K
Existing Customer,51,1243,24,11106,2,3,80K-120K
Existing Customer,59,1860,36,2890,3,0,Lessthan40K
Existing Customer,53,1502,25,3380,2,2,60K-80K
Existing Customer,47,1460,50,21331,1,2,60K-80K
Existing Customer,49,1348,27,12860,2,1,Unknown
Existing Customer,49,1087,33,6278,1,0,80K-120K
Existing Customer,60,1226,33,1438.3,1,3,Lessthan40K
Existing Customer,50,1230,28,9355,1,2,Lessthan40K
Existing Customer,41,1555,32,20758,1,3,Unknown
Existing Customer,57,1827,24,14612,3,1,80K-120K
Existing Customer,43,1376,35,27259,2,0,80K-120K
Existing Customer,57,1771,37,6347,2,3,Lessthan40K
Existing Customer,54,1873,52,21592,3,0,120K+
Existing Customer,51,1679,42,3449,1,1,Lessthan40K
Existing Customer,47,1002,22,6028,1,2,Lessthan40K
Existing Customer,41,1344,21,18214,2,3,120K+
Existing Customer,53,1461,42,16393,3,1,80K-120K
Attrited Customer,68,760,21,1438.3,3,2,Lessthan40K
Existing Customer,59,1428,22,7871,1,2,60K-80K
Existing Customer,48,1777,42,5288,3,0,80K-120K
Existing Customer,44,1302,27,11376,5,3,60K-80K
Existing Customer,48,1483,41,12302,5,3,80K-120K
Existing Customer,47,1060,27,34516,2,1,60K-80K
Existing Customer,47,1330,32,34516,2,2,60K-80K
Existing Customer,43,1229,27,10514,2,2,Lessthan40K
Attrited Customer,55,886,27,1438.3,4,3,Lessthan40K
Attrited Customer,59,844,24,1438.3,3,3,60K-80K
Existing Customer,63,1450,37,2619,1,2,40K-60K
Existing Customer,58,2311,48,24407,3,0,120K+
Existing Customer,53,1378,26,2377,1,2,Lessthan40K
Existing Customer,59,1033,26,34516,2,3,80K-120K
Existing Customer,52,1523,40,11086,3,3,120K+
Existing Customer,48,1374,37,11432,2,2,60K-80K
Existing Customer,43,1080,21,13258,3,2,40K-60K
Existing Customer,48,1234,24,2571,2,3,Lessthan40K
Existing Customer,43,1600,32,5781,2,0,Lessthan40K
Existing Customer,44,1155,32,7872,1,2,60K-80K
Existing Customer,41,1353,33,34516,1,2,80K-120K
Existing Customer,44,1546,25,11127,1,3,Lessthan40K
Existing Customer,50,1590,43,1857,1,3,40K-60K
Existing Customer,60,1448,22,1913,1,0,Lessthan40K
Existing Customer,44,1271,24,3839,3,0,80K-120K
Existing Customer,48,1223,20,2115,2,3,40K-60K
Existing Customer,44,1117,29,1438.3,2,2,Lessthan40K
Existing Customer,41,994,24,27756,3,0,80K-120K
Existing Customer,45,1468,26,1438.3,1,2,60K-80K
Existing Customer,47,1658,38,13878,4,2,Lessthan40K
Existing Customer,51,1368,38,3106,1,3,Lessthan40K
Existing Customer,51,1218,18,34516,3,3,120K+
Attrited Customer,60,702,12,1438.3,4,3,40K-60K
Existing Customer,57,1516,21,18871,3,0,80K-120K
Existing Customer,41,1310,26,5207,2,2,120K+
Existing Customer,44,1767,50,17965,2,2,80K-120K
Existing Customer,43,933,25,2733,3,3,60K-80K
Existing Customer,55,1512,27,8863,3,2,60K-80K
Attrited Customer,52,829,17,1857,3,3,80K-120K
Existing Customer,44,1120,27,34516,3,3,80K-120K
Existing Customer,41,1506,33,11107,3,3,40K-60K
Existing Customer,44,1384,36,21573,1,2,80K-120K
Attrited Customer,53,817,30,2859,3,3,Lessthan40K
Existing Customer,39,2094,25,5269,2,2,80K-120K
Attrited Customer,49,815,21,1438.3,2,3,40K-60K
Attrited Customer,45,510,24,3387,3,2,Lessthan40K
Existing Customer,54,1377,49,1982,2,3,80K-120K
Existing Customer,49,1193,33,4645,2,2,80K-120K
Existing Customer,46,1287,36,2189,3,2,Unknown
Attrited Customer,46,701,19,2442,3,3,120K+
Existing Customer,47,1770,25,21304,1,2,60K-80K
Existing Customer,44,1409,35,7577,1,2,60K-80K
Existing Customer,50,1354,28,3234,1,2,120K+
Existing Customer,73,1765,34,4469,3,2,40K-60K
Existing Customer,56,1192,27,2910,3,4,40K-60K
Attrited Customer,59,687,17,3616,4,3,40K-60K
Existing Customer,70,1227,15,3252,2,3,Lessthan40K
Existing Customer,55,1737,26,2358,3,3,Lessthan40K
Existing Customer,43,1348,34,22322,1,0,60K-80K
Existing Customer,45,1435,38,3133,2,2,120K+
Existing Customer,45,1321,28,3540,3,0,40K-60K
Existing Customer,40,1479,29,6990,3,2,40K-60K
Existing Customer,36,1283,39,34516,2,3,80K-120K
Attrited Customer,59,689,23,1438.3,4,1,40K-60K
Existing Customer,43,965,17,24396,3,2,60K-80K
Existing Customer,46,1541,40,2474,3,2,Lessthan40K
Existing Customer,41,1258,23,5214,1,3,40K-60K
Existing Customer,51,1339,20,5207,2,2,Lessthan40K
Existing Customer,51,1007,22,9512,2,2,Lessthan40K
Existing Customer,43,1387,33,3187,3,2,Unknown
Attrited Customer,64,960,18,3353,3,3,40K-60K
Existing Customer,54,1119,18,2290,3,3,60K-80K
Existing Customer,48,1642,41,5279,1,3,40K-60K
Existing Customer,40,1382,31,23603,3,0,60K-80K
Existing Customer,57,1232,32,2601,2,2,40K-60K
Existing Customer,45,1542,16,6363,3,0,80K-120K
Existing Customer,41,1094,32,8029,3,3,80K-120K
Existing Customer,42,1217,30,2410,2,2,Lessthan40K
Attrited Customer,45,744,18,3401,1,2,60K-80K
Existing Customer,42,1614,33,2260,2,0,Lessthan40K
Existing Customer,47,1747,31,17682,2,2,80K-120K
Existing Customer,48,1144,22,4206,1,3,40K-60K
Existing Customer,43,1575,34,34516,3,2,80K-120K
Existing Customer,41,1463,24,23018,3,0,80K-120K
Existing Customer,54,1706,21,5556,2,3,40K-60K
Attrited Customer,54,909,14,6094,3,1,Unknown
Existing Customer,61,2434,33,2939,1,2,40K-60K
Existing Customer,61,1876,41,5362,1,0,80K-120K
Attrited Customer,48,1000,25,27126,3,3,120K+
Existing Customer,45,1139,30,3342,3,2,Lessthan40K
Attrited Customer,54,799,21,2532,2,2,Unknown
Existing Customer,54,1881,45,1900,2,3,Unknown
Existing Customer,44,1273,27,14546,3,2,60K-80K
Existing Customer,50,1328,33,2521,3,2,Unknown
Existing Customer,55,1579,36,16427,4,3,60K-80K
Existing Customer,48,937,28,13068,1,2,40K-60K
Existing Customer,45,1749,37,23218,3,0,60K-80K
Existing Customer,60,1424,29,3281,1,3,40K-60K
Existing Customer,55,2011,41,3096,3,2,40K-60K
Existing Customer,62,1208,31,2052,2,3,40K-60K
Existing Customer,38,1259,24,1438.3,3,0,Lessthan40K
Existing Customer,46,1319,26,9432,3,2,40K-60K
Existing Customer,50,949,27,14938,2,3,120K+
Existing Customer,45,1338,30,2221,3,2,60K-80K
Existing Customer,47,1554,26,5731,3,0,60K-80K
Existing Customer,48,1350,32,34516,2,3,60K-80K
Existing Customer,35,1694,44,6985,2,2,60K-80K
Existing Customer,51,1678,40,24221,3,0,120K+
Existing Customer,36,2069,43,15439,1,1,Unknown
Existing Customer,47,1222,23,21637,3,2,80K-120K
Existing Customer,52,1536,37,14543,3,2,120K+
Existing Customer,43,1400,31,9684,1,1,Lessthan40K
Existing Customer,63,1050,28,5007,2,2,40K-60K
Existing Customer,61,1389,33,1616,2,0,60K-80K
Existing Customer,53,1184,29,19116,2,2,60K-80K
Existing Customer,53,2093,42,2759,6,2,Lessthan40K
Attrited Customer,57,678,11,8249,3,3,120K+
Existing Customer,38,1467,29,14041,3,2,Unknown
Existing Customer,53,1219,27,5264,3,2,60K-80K
Existing Customer,63,1730,36,2420,2,1,Lessthan40K
Existing Customer,49,1025,28,2826,2,0,Lessthan40K
Existing Customer,45,1165,33,12518,5,2,80K-120K
Existing Customer,67,2133,55,5876,2,1,40K-60K
Existing Customer,48,1122,13,34516,2,3,80K-120K
Existing Customer,51,1083,22,9648,1,2,Lessthan40K
Existing Customer,52,1234,23,34516,3,3,80K-120K
Existing Customer,55,1277,23,3025,3,0,Unknown
Existing Customer,34,1843,35,3265,3,3,60K-80K
Existing Customer,56,1747,49,6041,2,2,120K+
Existing Customer,44,1166,22,2293,3,2,Lessthan40K
Existing Customer,47,1326,31,13399,2,2,80K-120K
Existing Customer,46,1619,36,4317,3,3,Lessthan40K
Existing Customer,43,1285,16,3378,2,0,40K-60K
Existing Customer,50,1142,28,5012,1,3,Lessthan40K
Existing Customer,38,1190,46,2569,1,0,Lessthan40K
Existing Customer,53,1052,24,3471,1,2,Lessthan40K
Existing Customer,43,1628,38,34516,3,3,120K+
Existing Customer,53,1740,32,3312,3,2,120K+
Existing Customer,56,1378,29,2578,3,3,Lessthan40K
Attrited Customer,54,996,26,2902,3,2,40K-60K
Existing Customer,57,1389,32,2742,2,1,Lessthan40K
Existing Customer,62,1365,38,2077,3,3,Lessthan40K
Existing Customer,46,1715,43,6265,1,2,Lessthan40K
Existing Customer,49,1582,25,7819,3,0,60K-80K
Existing Customer,52,1220,22,2731,3,3,80K-120K
Attrited Customer,58,715,13,1438.3,4,3,40K-60K
Existing Customer,54,2552,49,16286,1,2,80K-120K
Existing Customer,49,1106,31,34516,2,3,120K+
Existing Customer,58,1731,34,2609,1,0,Lessthan40K
Existing Customer,52,1435,32,7567,3,2,60K-80K
Existing Customer,41,1882,38,22770,3,3,60K-80K
Existing Customer,62,2058,34,3791,1,2,Lessthan40K
Existing Customer,54,1658,32,2702,4,2,Lessthan40K
Existing Customer,40,1334,32,2555,1,3,Lessthan40K
Existing Customer,43,1441,29,2355,3,2,80K-120K
Existing Customer,53,1371,39,5332,2,0,40K-60K
Existing Customer,55,1991,38,1443,3,2,40K-60K
Existing Customer,46,1278,22,10741,2,3,60K-80K
Existing Customer,41,1734,39,7984,2,0,60K-80K
Existing Customer,49,1330,34,18584,2,2,60K-80K
Existing Customer,61,1787,31,5585,1,3,Unknown
Existing Customer,46,1672,32,34516,3,2,80K-120K
Existing Customer,50,1439,41,1438.3,3,4,Lessthan40K
Existing Customer,40,1558,31,2478,1,0,80K-120K
Existing Customer,51,1795,47,34516,3,3,120K+
Existing Customer,50,893,22,2339,2,3,40K-60K
Existing Customer,47,1099,27,2726,3,2,Lessthan40K
Existing Customer,43,1408,23,14881,3,3,120K+
Existing Customer,36,1893,15,1628,3,3,40K-60K
Existing Customer,47,1151,31,3156,2,2,Lessthan40K
Existing Customer,46,1519,31,4745,3,0,Lessthan40K
Existing Customer,46,1245,25,19727,3,2,120K+
Existing Customer,52,1102,27,22720,3,2,60K-80K
Existing Customer,43,1402,33,8129,3,0,40K-60K
Existing Customer,40,1060,30,3751,2,3,Lessthan40K
Existing Customer,54,1459,35,1594,5,3,Lessthan40K
Existing Customer,55,1456,39,2569,2,0,Lessthan40K
Existing Customer,49,1439,48,18206,3,2,Unknown
Existing Customer,45,1353,24,3104,3,3,40K-60K
Existing Customer,49,1173,32,2406,3,2,40K-60K
Existing Customer,63,1746,28,24571,2,3,80K-120K
Existing Customer,40,1279,28,15534,2,3,Lessthan40K
Existing Customer,41,1307,29,12301,2,0,Lessthan40K
Existing Customer,37,1473,37,2846,2,3,80K-120K
Existing Customer,58,1805,37,9788,2,3,120K+
Existing Customer,55,1421,23,7231,3,3,60K-80K
Existing Customer,53,1272,37,2324,3,2,Lessthan40K
Existing Customer,57,1409,34,12208,2,3,80K-120K
Attrited Customer,43,647,15,5639,5,3,80K-120K
Existing Customer,58,1275,25,10021,3,2,60K-80K
Existing Customer,64,1270,27,2215,1,0,Lessthan40K
Existing Customer,54,1702,37,2027,2,3,Lessthan40K
Existing Customer,53,1256,26,6363,2,2,60K-80K
Existing Customer,39,3178,53,3920,1,2,Lessthan40K
Existing Customer,56,1626,29,9226,1,3,60K-80K
Existing Customer,54,1562,33,9376,1,1,Lessthan40K
Existing Customer,59,1960,57,1944,3,3,40K-60K
Existing Customer,42,1154,38,9599,1,0,40K-60K
Existing Customer,42,1629,38,28202,1,2,60K-80K
Existing Customer,43,1226,25,24850,3,1,80K-120K
Existing Customer,55,1743,27,3805,3,3,120K+
Existing Customer,52,1139,39,2733,2,2,80K-120K
Existing Customer,46,1073,21,12781,3,3,40K-60K
Attrited Customer,57,683,17,3106,3,3,120K+
Existing Customer,48,1159,32,7477,3,0,80K-120K
Existing Customer,45,1859,47,34516,1,3,120K+
Existing Customer,48,1205,28,29963,5,2,120K+
Existing Customer,47,1409,37,6509,3,0,40K-60K
Attrited Customer,42,1000,18,13450,3,3,60K-80K
Existing Customer,41,1209,39,27000,2,0,60K-80K
Existing Customer,51,1366,25,34516,2,1,120K+
Existing Customer,55,1161,44,6347,3,2,Lessthan40K
Existing Customer,67,1512,38,3106,3,2,40K-60K
Existing Customer,39,1750,35,2536,1,1,60K-80K
Existing Customer,54,1170,24,13048,3,0,60K-80K
Existing Customer,55,2218,50,2453,3,1,Lessthan40K
Existing Customer,47,1198,33,16138,2,2,40K-60K
Existing Customer,49,1329,26,8077,2,0,60K-80K
Attrited Customer,42,857,36,1929,3,3,Lessthan40K
Existing Customer,57,1470,30,3127,3,2,80K-120K
Existing Customer,44,1435,25,8645,3,2,60K-80K
Existing Customer,56,1093,22,1438.3,1,3,60K-80K
Attrited Customer,49,715,20,2185,3,2,Lessthan40K
Existing Customer,45,1512,42,24487,2,2,80K-120K
Existing Customer,63,2399,43,2567,2,3,60K-80K
Existing Customer,44,906,22,4131,3,3,80K-120K
Existing Customer,44,1052,16,10790,2,2,Lessthan40K
Existing Customer,40,975,11,6884,3,3,40K-60K
Attrited Customer,39,783,20,13961,3,3,60K-80K
Existing Customer,42,990,21,29801,1,0,80K-120K
Existing Customer,54,1097,24,13219,1,1,120K+
Attrited Customer,58,901,35,2536,3,3,Lessthan40K
Existing Customer,46,1327,41,9478,3,1,Lessthan40K
Existing Customer,47,1814,31,3502,1,2,40K-60K
Existing Customer,67,1365,34,10509,3,3,Unknown
Existing Customer,50,1058,34,1491,3,0,Lessthan40K
Existing Customer,55,1476,38,9734,1,2,60K-80K
Existing Customer,46,1230,36,2305,1,3,40K-60K
Existing Customer,47,1581,44,14241,1,3,40K-60K
Existing Customer,36,1534,29,4789,1,2,40K-60K
Existing Customer,40,1612,39,23138,2,3,60K-80K
Existing Customer,57,1302,36,23008,1,3,80K-120K
Existing Customer,48,1439,40,3131,1,0,80K-120K
Existing Customer,58,1724,45,5798,3,2,Lessthan40K
Existing Customer,48,1784,35,6880,2,3,40K-60K
Existing Customer,48,1156,29,34516,2,2,80K-120K
Existing Customer,53,2556,49,2075,2,1,40K-60K
Existing Customer,50,1590,37,4589,3,0,80K-120K
Attrited Customer,52,884,19,2317,2,2,Lessthan40K
Attrited Customer,53,973,25,1981,1,1,Lessthan40K
Existing Customer,56,1447,30,6038,2,1,40K-60K
Existing Customer,44,1150,26,14910,3,2,80K-120K
Existing Customer,49,1193,21,29659,3,2,80K-120K
Attrited Customer,54,706,21,4320,3,2,60K-80K
Existing Customer,39,1257,23,11213,1,3,40K-60K
Existing Customer,39,1303,35,26181,1,2,Unknown
Existing Customer,41,1306,39,5773,1,0,Lessthan40K
Attrited Customer,53,748,20,4503,3,3,80K-120K
Existing Customer,47,1774,42,29770,2,2,80K-120K
Existing Customer,46,1209,25,5014,1,1,Lessthan40K
Existing Customer,53,1074,31,3445,1,2,Lessthan40K
Existing Customer,60,1786,50,23412,2,2,80K-120K
Existing Customer,59,1456,36,3044,1,2,Lessthan40K
Existing Customer,38,1300,25,14596,2,1,60K-80K
Existing Customer,56,1470,42,3864,2,2,Lessthan40K
Attrited Customer,35,715,25,17030,1,3,80K-120K
Existing Customer,50,1198,24,23090,2,3,60K-80K
Existing Customer,53,1556,43,29205,2,0,80K-120K
Existing Customer,63,1606,30,14035,2,3,60K-80K
Attrited Customer,43,929,31,2962,3,2,Lessthan40K
Existing Customer,46,1606,54,18578,3,0,80K-120K
Existing Customer,61,1199,32,2201,3,2,60K-80K
Existing Customer,37,2400,60,2061,3,2,Lessthan40K
Existing Customer,42,1337,44,24602,2,2,Unknown
Existing Customer,41,1270,33,15911,2,2,120K+
Attrited Customer,56,654,14,16867,2,3,120K+
Existing Customer,56,1909,54,2783,3,0,60K-80K
Attrited Customer,52,922,25,2972,3,2,Lessthan40K
Existing Customer,40,1158,42,5124,3,2,40K-60K
Existing Customer,63,1323,26,2880,6,2,40K-60K
Existing Customer,58,1025,35,5579,1,0,40K-60K
Existing Customer,58,1700,35,12010,1,3,60K-80K
Existing Customer,46,1628,51,34516,3,3,80K-120K
Existing Customer,37,1377,32,4394,2,2,40K-60K
Existing Customer,46,1517,33,18325,3,3,80K-120K
Existing Customer,46,1528,25,3773,3,2,Lessthan40K
Existing Customer,41,1329,24,21684,1,3,80K-120K
Existing Customer,48,1505,33,1919,1,2,40K-60K
Existing Customer,49,1172,38,9995,3,2,40K-60K
Existing Customer,44,1646,39,11910,2,2,80K-120K
Existing Customer,39,1693,32,2279,2,0,Lessthan40K
Existing Customer,57,1336,23,3539,1,2,40K-60K
Existing Customer,48,1289,19,30579,1,3,80K-120K
Existing Customer,47,1416,32,24480,1,0,80K-120K
Existing Customer,56,1608,33,17561,1,2,Unknown
Existing Customer,54,1885,51,1638,1,2,Lessthan40K
Existing Customer,54,1744,53,2947,3,2,60K-80K
Existing Customer,52,1922,48,5738,1,0,80K-120K
Existing Customer,43,1448,29,33304,2,2,120K+
Existing Customer,59,1300,36,7251,3,3,40K-60K
Existing Customer,44,1366,31,2885,2,0,Unknown
Existing Customer,56,1439,39,2641,2,3,Lessthan40K
Existing Customer,45,1241,46,2801,3,0,Unknown
Existing Customer,55,1917,33,16794,3,3,80K-120K
Existing Customer,48,1391,39,9336,1,3,40K-60K
Existing Customer,56,1246,31,2763,1,0,Lessthan40K
Existing Customer,41,1248,27,17391,3,2,60K-80K
Existing Customer,65,1936,44,3198,2,0,Lessthan40K
Existing Customer,34,2375,63,5100,3,2,80K-120K
Existing Customer,56,1238,25,3955,1,2,60K-80K
